dia_compra;mes_compra;a�o;dia_semana;nro_ticket;filial_id;suma_total;cantidad_productos;nota;el_tiempo_de_la_atencion_fue_agil_y_rapido;atencion_amable;el_local_se_encontraba__limpio_y_ordenado;pto_contacto;nivel_2;dia_respuesta;genero;rango_edad;region;segmento_actividad;medio_de_pago;vend_id;Random
30-04-2020;4;2020;jueves;ab1d4;182;3298;3;10;9;10;10;Local 182;Locales;01-05-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Credito;18413;191
30-04-2020;4;2020;jueves;ab1d5;498;26441;7;10;7;10;8;Local 498;Locales;06-05-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;10160;878
21-04-2020;4;2020;Martes;ab1d6;565;21256;5;9;;;;Compra Onl;Compra Online Despac;06-05-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;1;2446
30-04-2020;4;2020;jueves;ab1d7;124;29260;5;10;10;10;10;Local 124;Locales;01-05-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Excedente;1071;4554
26-04-2020;4;2020;Domingo;ab1d8;565;61152;8;9;;;;Compra Onl;Compra Online Despac;04-05-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;1;5342
24-04-2020;4;2020;Viernes;ab1d9;565;70435;7;7;;;;Compra Onl;Compra Online Despac;08-05-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Credito;1;8571
28-04-2020;4;2020;Martes;ab1d10;565;30989;2;9;;;;Compra Onl;Compra Online Despac;02-05-2020;Femenino;De 60 años y más;Región Metropolitana;Activo;Debito;1;10508
28-04-2020;4;2020;Martes;ab1d11;565;15184;7;9;;;;Compra Onl;Compra Online Despac;06-05-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Debito;1;10869
28-04-2020;4;2020;Martes;ab1d12;565;19790;2;10;;;;Compra Onl;Compra Online Despac;06-05-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;1;22545
29-04-2020;4;2020;Miercoles;ab1d13;565;30251;4;10;;;;Compra Onl;Compra Online Despac;08-05-2020;Femenino;De 60 años y más;Región Metropolitana;Activo;Debito;1;23903
30-04-2020;4;2020;jueves;ab1d14;477;74491;9;10;10;10;10;Local 477;Locales;01-05-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;22745;35752
29-04-2020;4;2020;Miercoles;ab1d15;565;19990;2;10;;;;Compra Onl;Compra Online Despac;07-05-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;1;38797
29-04-2020;4;2020;Miercoles;ab1d16;565;13998;2;8;;;;Compra Onl;Compra Online Despac;15-05-2020;Femenino;De 18 a 25 años;Región Metropolitana;Activo;Credito;1;40050
30-04-2020;4;2020;jueves;ab1d17;194;368900;1;8;9;10;;Local 194;Locales;01-05-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Debito;19216;43393
30-04-2020;4;2020;jueves;ab1d18;291;11938;1;10;10;10;;Local 291;Locales;01-05-2020;Masculino;De 60 años y más;VIII Biobío;Activo;Efectivo;10485;43466
30-04-2020;4;2020;jueves;ab1d19;335;38609;8;8;10;10;7;Local 335;Locales;07-05-2020;Masculino;De 46 a 60 años;II Antofagasta;Activo;Credito;14125;45957
28-04-2020;4;2020;Martes;ab1d20;565;11669;4;8;;;;Compra Onl;Compra Online Despac;04-05-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Credito;1;46076
30-04-2020;4;2020;jueves;ab1d21;182;135983;55;9;9;10;;Local 182;Locales;01-05-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Efectivo;19479;48101
30-04-2020;4;2020;jueves;ab1d22;388;8483;8;10;10;10;10;Local 388;Locales;01-05-2020;Femenino;De 36 a 45 años;XVI �uble;Activo;Debito;18510;50444
30-04-2020;4;2020;jueves;ab1d23;89;45293;8;10;10;10;;Local 89;Locales;01-05-2020;Masculino;De 36 a 45 años;Región Metropolitana;Activo;Debito;15933;50763
30-04-2020;4;2020;jueves;ab1d24;496;142835;5;10;10;10;10;Local 496;Locales;06-05-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;1088;55100
30-04-2020;4;2020;jueves;ab1d25;626;49384;2;10;10;10;10;Local 626;Locales;01-05-2020;Femenino;De 26 a 35 años;VII Maule;Activo;Credito;13849;55185
30-04-2020;4;2020;jueves;ab1d26;220;20800;2;10;10;10;10;Local 220;Locales;01-05-2020;Masculino;De 36 a 45 años;Región Metropolitana;Activo;Debito;16238;56313
26-04-2020;4;2020;Domingo;ab1d27;565;29760;8;10;;;;Compra Onl;Compra Online Despac;01-05-2020;Femenino;De 18 a 25 años;Región Metropolitana;Activo;Debito;1;57074
25-04-2020;4;2020;Sabado;ab1d28;565;73992;10;3;;;;Compra Onl;Compra Online Despac;01-05-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Credito;1;66088
30-04-2020;4;2020;jueves;ab1d29;565;31948;7;10;;;;Compra Onl;Compra Online Despac;13-05-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;1;66279
30-04-2020;4;2020;jueves;ab1d30;158;22439;1;10;10;10;10;Local 158;Locales;01-05-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Credito;13677;70406
30-04-2020;4;2020;jueves;ab1d31;453;55151;9;10;9;10;10;Local 453;Locales;01-05-2020;Femenino;De 46 a 60 años;VIII Biobío;Activo;Excedente;5208;71296
30-04-2020;4;2020;jueves;ab1d32;196;24446;5;10;8;10;10;Local 196;Locales;06-05-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Efectivo;13626;73416
26-04-2020;4;2020;Domingo;ab1d33;565;13499;2;10;;;;Compra Onl;Compra Online Despac;08-05-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;1;76258
22-04-2020;4;2020;Miercoles;ab1d34;565;50672;21;10;;;;Compra Onl;Compra Online Despac;04-05-2020;Femenino;De 18 a 25 años;Región Metropolitana;Semi Activo;Debito;1;77907
30-04-2020;4;2020;jueves;ab1d35;157;2967;1;4;8;5;5;Local 157;Locales;01-05-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;23221;78707
30-04-2020;4;2020;jueves;ab1d36;103;1876;5;10;10;10;;Local 103;Locales;01-05-2020;Femenino;De 60 años y más;Región Metropolitana;Activo;Efectivo;4183;79688
